title,author,genre,year,price
Black holes,samod,horror,2024,2.99
Uranus,samod,space,2024,10.99
Legends of the Deep 308,M. Frost,Horror,1962,16.36
The Wandering Star 103,N. Rivers,Space Opera,2022,14.72
The Silent Forest 271,L. Raynor,Mystery,2001,36.49
The Forgotten Realm 2,J. Storm,Horror,2014,27.81
The Hollow Crown 584,L. Raynor,Space Opera,2009,20.41
Echoes of Tomorrow 173,C. Morgan,Fantasy,1994,31.3
The Endless March 891,T. Black,Sci-Fi,2014,28.41
Ashes and Embers 331,N. Rivers,Space Opera,1994,14.17
Labyrinth of Souls 495,T. Black,Thriller,2005,46.38
The Forgotten Realm 719,T. Black,Space Opera,2025,47.0
Rise of the Fallen 606,T. Black,Space Opera,1960,26.09
The Hollow Crown 618,H. Drake,Fantasy,1984,9.61
Labyrinth of Souls 620,L. Raynor,Thriller,1963,22.85
Labyrinth of Souls 798,M. Frost,Fantasy,1956,49.95
The Silent Forest 411,J. Storm,Romance,1969,40.51
Labyrinth of Souls 206,N. Rivers,Thriller,2023,48.68
Flames of Destiny 712,L. Raynor,Sci-Fi,2015,31.31
Rise of the Fallen 592,H. Drake,Space Opera,1981,10.21
Beneath the Iron Sky 96,T. Black,Space Opera,1981,21.46
Echoes of Tomorrow 869,J. Storm,Romance,1992,40.16
The Endless March 759,A. Winters,Horror,2022,21.82
Ashes and Embers 892,M. Frost,Adventure,2016,17.94
Whispers of the Void 939,T. Black,Horror,2016,33.56
The Endless March 226,T. Black,Thriller,1982,23.88
The Forgotten Realm 993,M. Frost,Fantasy,1966,37.9
The Crimson Dawn 261,T. Black,Horror,2023,7.14
Legends of the Deep 55,T. Black,Adventure,1989,7.57
Ashes and Embers 414,T. Black,Sci-Fi,1976,4.21
The Wandering Star 814,N. Rivers,Horror,2020,31.28
The Hollow Crown 800,C. Morgan,Sci-Fi,2001,2.18
The Endless March 232,J. Storm,Thriller,2005,9.42
Labyrinth of Souls 905,A. Winters,Space Opera,2023,9.91
The Forgotten Realm 301,T. Black,Adventure,1990,10.24
The Crimson Dawn 268,N. Rivers,Thriller,1992,45.29
The Fractured Moon 259,N. Rivers,Sci-Fi,1995,15.55
Beneath the Iron Sky 579,H. Drake,Romance,1999,21.13
Beneath the Iron Sky 774,A. Winters,Romance,2009,24.44
Rise of the Fallen 370,M. Frost,Fantasy,1995,14.04
Dreams of Aether 126,H. Drake,Horror,1972,47.92
Whispers of the Void 864,M. Frost,Adventure,2002,17.68
Labyrinth of Souls 288,C. Morgan,Sci-Fi,1993,28.98
Labyrinth of Souls 430,N. Rivers,Romance,2015,3.47
The Endless March 343,L. Raynor,Sci-Fi,1995,49.66
Chronicles of the Lost 133,M. Frost,Fantasy,1977,25.88
Legends of the Deep 465,C. Morgan,Sci-Fi,2004,7.85
The Forgotten Realm 504,N. Rivers,Fantasy,2018,17.71
Echoes of Tomorrow 813,N. Rivers,Horror,2020,13.14
Flames of Destiny 97,L. Raynor,Thriller,2022,28.91
Chronicles of the Lost 281,L. Raynor,Mystery,1993,17.31
Legends of the Deep 517,H. Drake,Romance,2008,29.13
The Fractured Moon 32,J. Storm,Horror,1952,45.1
Chronicles of the Lost 939,J. Storm,Space Opera,2012,32.74
Flames of Destiny 239,H. Drake,Space Opera,1962,16.38
Rise of the Fallen 491,J. Storm,Thriller,1973,45.42
The Crimson Dawn 612,M. Frost,Romance,2011,4.31
Ashes and Embers 265,H. Drake,Fantasy,1981,3.61
Shadows of Eternity 198,L. Raynor,Mystery,2025,40.36
Legends of the Deep 527,A. Winters,Thriller,1962,13.24
Whispers of the Void 699,N. Rivers,Fantasy,1951,13.91
The Hollow Crown 747,A. Winters,Fantasy,1996,30.25
Age of Titans 248,A. Winters,Space Opera,2008,38.88
Echoes of Tomorrow 70,N. Rivers,Horror,1961,28.24
Whispers of the Void 114,H. Drake,Mystery,1956,15.99
Age of Titans 277,H. Drake,Mystery,2000,50.81
Beyond the Horizon 402,A. Winters,Thriller,2007,17.34
The Hollow Crown 327,M. Frost,Mystery,1969,18.32
Ashes and Embers 277,A. Winters,Mystery,1991,6.11
The Endless March 761,H. Drake,Thriller,1987,8.84
Shadows of Eternity 474,N. Rivers,Thriller,1965,6.49
Whispers of the Void 712,T. Black,Horror,2023,2.45
The Endless March 369,C. Morgan,Adventure,1960,13.49
Age of Titans 516,M. Frost,Thriller,2016,14.08
The Forgotten Realm 647,J. Storm,Mystery,1989,14.73
Flames of Destiny 207,J. Storm,Horror,2017,4.24
Ashes and Embers 53,M. Frost,Space Opera,2002,36.22
Whispers of the Void 735,L. Raynor,Fantasy,1969,5.74
Beyond the Horizon 427,A. Winters,Horror,1977,17.52
The Crimson Dawn 324,A. Winters,Space Opera,2017,32.38
Labyrinth of Souls 923,J. Storm,Thriller,1956,25.58
Beneath the Iron Sky 387,J. Storm,Romance,2017,13.92
Flames of Destiny 571,C. Morgan,Romance,2020,47.47
Age of Titans 947,T. Black,Space Opera,1958,35.76
Age of Titans 70,J. Storm,Mystery,1971,2.55
Beyond the Horizon 224,N. Rivers,Mystery,2017,50.75
Whispers of the Void 293,T. Black,Romance,1966,4.51
Rise of the Fallen 690,N. Rivers,Horror,1957,39.91
Rise of the Fallen 199,J. Storm,Adventure,2012,35.33
Age of Titans 351,L. Raynor,Fantasy,2014,42.59
The Endless March 985,M. Frost,Adventure,1979,12.0
The Hollow Crown 358,M. Frost,Fantasy,1975,28.62
Beyond the Horizon 947,J. Storm,Romance,2023,9.58
The Silent Forest 198,C. Morgan,Space Opera,2001,37.1
Echoes of Tomorrow 89,L. Raynor,Romance,1966,29.69
Legends of the Deep 86,C. Morgan,Mystery,1956,48.94
Age of Titans 825,A. Winters,Space Opera,1973,32.91
Labyrinth of Souls 829,C. Morgan,Thriller,1998,42.94
Shadows of Eternity 594,L. Raynor,Adventure,2003,25.22
Whispers of the Void 805,H. Drake,Thriller,1992,4.01
Ashes and Embers 318,C. Morgan,Thriller,1975,36.5
Labyrinth of Souls 41,N. Rivers,Space Opera,1972,31.63
Dreams of Aether 477,J. Storm,Horror,1978,43.97
The Hollow Crown 997,C. Morgan,Fantasy,1975,21.43
Dreams of Aether 847,C. Morgan,Space Opera,1993,49.34
Age of Titans 299,A. Winters,Mystery,1967,10.81
The Hollow Crown 140,L. Raynor,Adventure,1997,23.51
Ashes and Embers 767,C. Morgan,Adventure,1995,11.92
Rise of the Fallen 614,M. Frost,Space Opera,1988,49.93
Echoes of Tomorrow 445,H. Drake,Sci-Fi,1990,15.47
The Endless March 163,H. Drake,Sci-Fi,1954,44.58
Chronicles of the Lost 438,L. Raynor,Romance,1984,8.26
Beyond the Horizon 985,H. Drake,Horror,1997,28.11
Dreams of Aether 154,C. Morgan,Adventure,2018,6.12
The Fractured Moon 786,M. Frost,Horror,2021,35.82
Dreams of Aether 469,C. Morgan,Thriller,1992,49.83
The Fractured Moon 626,H. Drake,Fantasy,1953,9.9
The Forgotten Realm 930,C. Morgan,Adventure,1976,2.68
The Forgotten Realm 99,M. Frost,Romance,2001,20.35
Echoes of Tomorrow 497,M. Frost,Thriller,1975,47.85
Echoes of Tomorrow 621,C. Morgan,Space Opera,2024,40.3
Ashes and Embers 939,T. Black,Thriller,2017,28.46
